time,Shooter/D/topRollerVelocity,Shooter/D/bottomRollerVelocity,Shooter/D/getAngle,Shooter/D/getBeamBreak,Shooter/D/angleMotorPosition,Swerve/getYaw,Swerve/D/getPose,D/PDH Voltage,D/Periodic Time Delta,
53:03.549,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995900000000006",
53:03.699,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020049999999999457",
53:03.850,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995999999999931",
53:04.001,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01991599999999938",
53:04.152,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01994700000000016",
53:04.302,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019991999999999344",
53:04.453,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019904999999999617",
53:04.604,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019984000000000002",
53:04.754,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01995300000000011",
53:04.905,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019995999999999903",
53:05.055,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02010800000000046",
53:05.206,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019998999999999434",
53:05.356,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02013100000000012",
53:05.507,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019997000000000043",
53:05.658,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01994799999999941",
53:05.808,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020062000000000246",
53:05.959,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020014999999999894",
53:06.111,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.02010600000000018",
53:06.261,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019860999999999684",
53:06.412,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019906999999999897",
53:06.562,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019923000000000357",
53:06.713,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020008000000000692",
53:06.863,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020006999999999664",
53:07.014,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020021000000000733",
53:07.164,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.019998999999999434",
53:07.315,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020011999999999475",
53:07.465,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.01999300000000126",
53:07.616,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020007999999998916",
53:07.766,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020039999999999836",
53:07.917,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020058000000000575",
53:08.068,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020086000000000936",
53:08.218,"0.0","0.0","68.5","true","0.0","Rotation2d(Rads: -0.00, Deg: -0.00)","Pose2d(Translation2d(X: 0.00, Y: 0.00), Rotation2d(Rads: 0.00, Deg: 0.00))","12.0","0.020032000000000494",
